Location,Price,Area,BHK,City,Bathroom,Price_per_Sqft
7th Phase JP Nagar,6133000.0,1236.0,2,Bangalore,2.0,4961.974110032363
7th Phase JP Nagar,5300000.0,1000.0,2,Bangalore,2.0,5300.0
7th Phase JP Nagar,12500000.0,1680.0,3,Bangalore,3.0,7440.476190476191
7th Phase JP Nagar,13500000.0,1675.0,3,Bangalore,2.0,8059.701492537313
7th Phase JP Nagar,5900000.0,1187.0,2,Bangalore,2.0,4970.513900589722
7th Phase JP Nagar,15500000.0,1850.0,3,Bangalore,3.0,8378.378378378378
7th Phase JP Nagar,6100000.0,1000.0,2,Bangalore,2.0,6100.0
7th Phase JP Nagar,10000000.0,1460.0,3,Bangalore,2.0,6849.315068493151
7th Phase JP Nagar,11000000.0,1650.0,3,Bangalore,3.0,6666.666666666667
7th Phase JP Nagar,6250000.0,1200.0,2,Bangalore,2.0,5208.333333333333
7th Phase JP Nagar,7065000.000000001,1000.0,2,Bangalore,2.0,7065.000000000001
7th Phase JP Nagar,4200000.0,1070.0,2,Bangalore,2.0,3925.233644859813
7th Phase JP Nagar,7500000.0,1080.0,2,Bangalore,2.0,6944.444444444444
7th Phase JP Nagar,6500000.0,1415.0,3,Bangalore,3.0,4593.639575971732
7th Phase JP Nagar,12500000.0,1680.0,3,Bangalore,3.0,7440.476190476191
7th Phase JP Nagar,4159000.000000001,1040.0,2,Bangalore,2.0,3999.0384615384623
7th Phase JP Nagar,4400000.0,1100.0,2,Bangalore,2.0,4000.0
7th Phase JP Nagar,9700000.0,1460.0,3,Bangalore,2.0,6643.835616438356
7th Phase JP Nagar,6500000.0,1120.0,2,Bangalore,2.0,5803.571428571428
7th Phase JP Nagar,6000000.0,1100.0,2,Bangalore,3.0,5454.545454545455
7th Phase JP Nagar,12000000.0,1790.0,3,Bangalore,3.0,6703.91061452514
7th Phase JP Nagar,11700000.0,1680.0,3,Bangalore,3.0,6964.285714285715
7th Phase JP Nagar,7700000.0,1050.0,2,Bangalore,2.0,7333.333333333333
7th Phase JP Nagar,4700000.0,1174.0,2,Bangalore,2.0,4003.4071550255535
7th Phase JP Nagar,7500000.0,1050.0,2,Bangalore,2.0,7142.857142857143
7th Phase JP Nagar,7500000.0,1040.0,2,Bangalore,2.0,7211.538461538462
7th Phase JP Nagar,9500000.0,1400.0,3,Bangalore,2.0,6785.714285714285
7th Phase JP Nagar,13000000.0,1800.0,3,Bangalore,3.0,7222.222222222223
7th Phase JP Nagar,6800000.0,1050.0,2,Bangalore,2.0,6476.190476190476
7th Phase JP Nagar,5700000.0,1400.0,3,Bangalore,2.0,4071.4285714285716
7th Phase JP Nagar,6000000.0,1000.0,2,Bangalore,2.0,6000.0
7th Phase JP Nagar,12500000.0,1680.0,3,Bangalore,3.0,7440.476190476191
7th Phase JP Nagar,8600000.0,980.0,2,Bangalore,2.0,8775.510204081633
7th Phase JP Nagar,5479000.0,1370.0,3,Bangalore,2.0,3999.2700729927005
7th Phase JP Nagar,7747000.0,1050.0,2,Bangalore,2.0,7378.0952380952385
7th Phase JP Nagar,8000000.0,1270.0,2,Bangalore,2.0,6299.212598425197
7th Phase JP Nagar,6145000.0,1463.0,3,Bangalore,2.0,4200.273410799727
7th Phase JP Nagar,12200000.0,1680.0,3,Bangalore,3.0,7261.9047619047615
7th Phase JP Nagar,4279000.0,1070.0,2,Bangalore,2.0,3999.0654205607475
7th Phase JP Nagar,8500000.0,1130.0,2,Bangalore,2.0,7522.123893805309
7th Phase JP Nagar,13000000.0,1680.0,3,Bangalore,3.0,7738.0952380952385
7th Phase JP Nagar,5200000.0,1300.0,3,Bangalore,2.0,4000.0
7th Phase JP Nagar,26000000.0,2980.0,3,Bangalore,4.0,8724.832214765102
7th Phase JP Nagar,7744000.0,980.0,2,Bangalore,2.0,7902.040816326531
7th Phase JP Nagar,11200000.0,1680.0,3,Bangalore,3.0,6666.666666666667
7th Phase JP Nagar,7600000.0,1515.0,3,Bangalore,2.0,5016.501650165016
7th Phase JP Nagar,15000000.0,2095.0,3,Bangalore,3.0,7159.904534606205
7th Phase JP Nagar,5479000.0,1370.0,3,Bangalore,2.0,3999.2700729927005
7th Phase JP Nagar,14500000.0,1976.0,3,Bangalore,3.0,7338.056680161943
7th Phase JP Nagar,11000000.0,1600.0,3,Bangalore,2.0,6875.0
7th Phase JP Nagar,11800000.0,1765.0,3,Bangalore,3.0,6685.552407932011
7th Phase JP Nagar,8800000.0,1275.0,3,Bangalore,2.0,6901.9607843137255
7th Phase JP Nagar,10200000.0,1450.0,3,Bangalore,2.0,7034.482758620689
7th Phase JP Nagar,11000000.0,1575.0,3,Bangalore,2.0,6984.126984126984
7th Phase JP Nagar,5700000.0,1075.0,3,Bangalore,2.0,5302.325581395349
7th Phase JP Nagar,4700000.0,750.0,1,Bangalore,1.0,6266.666666666667
7th Phase JP Nagar,4200000.0,1050.0,2,Bangalore,2.0,4000.0
7th Phase JP Nagar,5000000.0,990.0,2,Bangalore,2.0,5050.50505050505
7th Phase JP Nagar,6000000.0,1000.0,1,Bangalore,1.0,6000.0
7th Phase JP Nagar,9200000.0,1680.0,3,Bangalore,2.0,5476.190476190476
7th Phase JP Nagar,4400000.0,1100.0,2,Bangalore,2.0,4000.0
7th Phase JP Nagar,10200000.0,1430.0,3,Bangalore,2.0,7132.867132867133
7th Phase JP Nagar,6000000.0,1128.0,2,Bangalore,2.0,5319.148936170212
7th Phase JP Nagar,19000000.0,2100.0,3,Bangalore,3.0,9047.619047619048
7th Phase JP Nagar,5700000.0,1140.0,2,Bangalore,2.0,5000.0
7th Phase JP Nagar,9000000.0,1420.0,3,Bangalore,3.0,6338.028169014085
7th Phase JP Nagar,10800000.0,1530.0,2,Bangalore,2.0,7058.823529411765
Airoli,29000000.0,2060.0,3,Mumbai,3.0,14077.669902912621
Airoli,18100000.0,1110.0,2,Mumbai,2.0,16306.306306306305
Airoli,11500000.0,750.0,1,Mumbai,1.0,15333.333333333334
Airoli,14000000.0,1250.0,2,Mumbai,2.0,11200.0
Airoli,19500000.0,1300.0,2,Mumbai,2.0,15000.0
Airoli,8500000.0,900.0,1,Mumbai,2.0,9444.444444444445
Airoli,9500000.0,750.0,1,Mumbai,1.0,12666.666666666666
Airoli,8500000.0,800.0,1,Mumbai,2.0,10625.0
Airoli,17000000.0,1400.0,3,Mumbai,3.0,12142.857142857143
Airoli,13000000.0,933.0,2,Mumbai,2.0,13933.547695605574
Airoli,5000000.0,430.0,1,Mumbai,1.0,11627.906976744185
Airoli,7500000.0,680.0,1,Mumbai,1.0,11029.411764705883
Airoli,8500000.0,720.0,1,Mumbai,2.0,11805.555555555555
Airoli,16000000.0,1450.0,2,Mumbai,2.0,11034.48275862069
Airoli,13500000.0,980.0,2,Mumbai,2.0,13775.510204081633
Airoli,19000000.0,1150.0,2,Mumbai,2.0,16521.739130434784
Airoli,7200000.0,650.0,1,Mumbai,2.0,11076.923076923076
Airoli,15000000.0,1250.0,2,Mumbai,2.0,12000.0
Airoli,15000000.0,1250.0,2,Mumbai,2.0,12000.0
Airoli,19500000.0,1245.0,2,Mumbai,2.0,15662.650602409638
Airoli,19500000.0,1245.0,2,Mumbai,2.0,15662.650602409638
Airoli,13500000.0,1190.0,2,Mumbai,2.0,11344.53781512605
Airoli,13500000.0,1190.0,2,Mumbai,2.0,11344.53781512605
Airoli,14000000.0,1250.0,2,Mumbai,2.0,11200.0
Airoli,13000000.0,1250.0,2,Mumbai,2.0,10400.0
Airoli,7100000.0,550.0,1,Mumbai,2.0,12909.09090909091
Airoli,7100000.0,550.0,1,Mumbai,2.0,12909.09090909091
Airoli,9886800.0,700.0,2,Mumbai,2.0,14124.0
Airoli,7800000.0,550.0,1,Mumbai,1.0,14181.818181818182
Airoli,7000000.0,700.0,1,Mumbai,1.0,10000.0
Airoli,12300000.0,1105.0,2,Mumbai,2.0,11131.221719457013
Airoli,12500000.0,1105.0,2,Mumbai,2.0,11312.217194570136
Airoli,14300000.0,1150.0,2,Mumbai,2.0,12434.782608695652
Airoli,14200000.0,1150.0,2,Mumbai,2.0,12347.826086956522
Airoli,8700000.0,730.0,1,Mumbai,1.0,11917.808219178081
Airoli,8500000.0,730.0,1,Mumbai,1.0,11643.835616438357
Airoli,5000000.0,430.0,1,Mumbai,1.0,11627.906976744185
Airoli,15000000.0,1050.0,2,Mumbai,2.0,14285.714285714286
Airoli,10000000.0,650.0,2,Mumbai,2.0,15384.615384615385
Airoli,7800000.0,550.0,1,Mumbai,1.0,14181.818181818182
Airoli,11000000.0,650.0,2,Mumbai,2.0,16923.076923076922
Airoli,7600000.0,420.0,1,Mumbai,1.0,18095.238095238095
Airoli,7300000.0,450.0,1,Mumbai,1.0,16222.222222222223
Airoli,7500000.0,450.0,1,Mumbai,1.0,16666.666666666668
Airoli,7500000.0,680.0,1,Mumbai,2.0,11029.411764705883
Airoli,6800000.0,680.0,1,Mumbai,1.0,10000.0
Airoli,9000000.0,570.0,2,Mumbai,2.0,15789.473684210527
Airoli,13500000.0,1160.0,2,Mumbai,2.0,11637.931034482759
Airoli,7600000.0,655.0,1,Mumbai,2.0,11603.053435114503
Airoli,26670000.0,1952.0,3,Mumbai,3.0,13662.909836065573
Airoli,19870000.0,1435.0,2,Mumbai,2.0,13846.689895470383
Airoli,29500000.0,1850.0,3,Mumbai,2.0,15945.945945945947
Airoli,13000000.0,752.0,2,Mumbai,2.0,17287.23404255319
Airoli,6600000.0,589.0,1,Mumbai,2.0,11205.432937181664
Airoli,19000000.0,1300.0,2,Mumbai,2.0,14615.384615384615
Airoli,8800000.0,750.0,1,Mumbai,2.0,11733.333333333334
Airoli,18500000.0,1450.0,2,Mumbai,2.0,12758.620689655172
Airoli,19000000.0,1240.0,2,Mumbai,2.0,15322.58064516129
Airoli,17500000.0,1150.0,2,Mumbai,2.0,15217.391304347826
Airoli,13000000.0,1230.0,2,Mumbai,2.0,10569.105691056911
Airoli,16500000.0,1100.0,2,Mumbai,2.0,15000.0
Airoli,16000000.0,1200.0,2,Mumbai,2.0,13333.333333333334
Airoli,15800000.0,1150.0,2,Mumbai,2.0,13739.130434782608
Airoli,16000000.0,1600.0,4,Mumbai,3.0,10000.0
Airoli,26500000.0,2100.0,3,Mumbai,3.0,12619.047619047618
Airoli,18000000.0,1310.0,2,Mumbai,2.0,13740.458015267175
Airoli,17800000.0,1450.0,2,Mumbai,2.0,12275.862068965518
Airoli,16200000.0,1030.0,2,Mumbai,2.0,15728.155339805826
Airoli,10200000.0,690.0,1,Mumbai,1.0,14782.608695652174
Airoli,17000000.0,1165.0,2,Mumbai,2.0,14592.274678111587
Airoli,17500000.0,1250.0,2,Mumbai,2.0,14000.0
Airoli,9800000.0,750.0,1,Mumbai,1.0,13066.666666666666
Airoli,12500000.0,980.0,2,Mumbai,2.0,12755.102040816326
Airoli,18900000.0,1680.0,3,Mumbai,3.0,11250.0
Airoli,13200000.0,1245.0,2,Mumbai,2.0,10602.409638554216
Airoli,13000000.0,1150.0,2,Mumbai,2.0,11304.347826086956
Airoli,12300000.0,800.0,2,Mumbai,2.0,15375.0
Airoli,7200000.0,650.0,1,Mumbai,1.0,11076.923076923076
Airoli,9800000.0,737.0,1,Mumbai,1.0,13297.150610583447
Airoli,11500000.0,650.0,1,Mumbai,1.0,17692.30769230769
Airoli,13000000.0,1100.0,2,Mumbai,2.0,11818.181818181818
Airoli,15000000.0,1350.0,3,Mumbai,3.0,11111.111111111111
Airoli,17000000.0,1219.0,2,Mumbai,2.0,13945.85726004922
Airoli,17900000.0,1279.0,2,Mumbai,2.0,13995.308835027365
Airoli,21500000.0,1408.0,3,Mumbai,3.0,15269.886363636364
Airoli,23000000.0,1496.0,3,Mumbai,3.0,15374.331550802139
Airoli,23600000.0,1538.0,3,Mumbai,3.0,15344.603381014304
Airoli,12700000.0,1007.0,2,Mumbai,2.0,12611.717974180734
Airoli,7900000.0,650.0,1,Mumbai,1.0,12153.846153846154
Airoli,12500000.0,1080.0,2,Mumbai,2.0,11574.074074074075
Airoli,19000000.0,1050.0,2,Mumbai,2.0,18095.238095238095
Airoli,7500000.0,675.0,1,Mumbai,2.0,11111.111111111111
Airoli,17000000.0,1245.0,2,Mumbai,2.0,13654.618473895582
Airoli,17000000.0,1245.0,2,Mumbai,2.0,13654.618473895582
Airoli,7000000.0,610.0,1,Mumbai,2.0,11475.409836065573
Airoli,7200000.0,655.0,1,Mumbai,1.0,10992.36641221374
Airoli,15000000.0,1050.0,2,Mumbai,2.0,14285.714285714286
Airoli,14000000.0,1150.0,2,Mumbai,2.0,12173.91304347826
Airoli,18000000.0,1280.0,2,Mumbai,2.0,14062.5
Airoli,15500000.0,1300.0,3,Mumbai,3.0,11923.076923076924
Airoli,16500000.0,1150.0,2,Mumbai,2.0,14347.826086956522
Airoli,12000000.0,650.0,1,Mumbai,1.0,18461.53846153846
Airoli,6500000.0,625.0,1,Mumbai,1.0,10400.0
Airoli,4500000.0,450.0,1,Mumbai,1.0,10000.0
Airoli,6700000.0,630.0,1,Mumbai,2.0,10634.920634920634
Airoli,13500000.0,1050.0,2,Mumbai,2.0,12857.142857142857
Airoli,7500000.0,630.0,1,Mumbai,2.0,11904.761904761905
Airoli,15500000.0,1100.0,2,Mumbai,2.0,14090.90909090909
Airoli,12000000.0,1050.0,2,Mumbai,2.0,11428.57142857143
Airoli,15500000.0,1100.0,2,Mumbai,2.0,14090.90909090909
Airoli,12000000.0,1050.0,2,Mumbai,2.0,11428.57142857143
Airoli,6000000.0,575.0,1,Mumbai,1.0,10434.782608695652
Airoli,8300000.0,650.0,2,Mumbai,2.0,12769.23076923077
Airoli,8800000.0,705.0,1,Mumbai,2.0,12482.2695035461
Airoli,6500000.0,600.0,1,Mumbai,1.0,10833.333333333334
Airoli,18000000.0,1190.0,2,Mumbai,2.0,15126.050420168067
Airoli,7500000.0,650.0,1,Mumbai,2.0,11538.461538461539
Airoli,7200000.0,675.0,1,Mumbai,1.0,10666.666666666666
Airoli,12000000.0,1165.0,2,Mumbai,2.0,10300.429184549355
Airoli,16000000.0,980.0,2,Mumbai,2.0,16326.530612244898
Airoli,8500000.0,650.0,1,Mumbai,2.0,13076.923076923076
Airoli,10600000.0,1200.0,2,Mumbai,2.0,8833.333333333334
Airoli,7600000.0,750.0,1,Mumbai,1.0,10133.333333333334
Airoli,14000000.0,1050.0,2,Mumbai,2.0,13333.333333333334
Airoli,17500000.0,1410.0,2,Mumbai,2.0,12411.347517730497
Airoli,19000000.0,1150.0,2,Mumbai,2.0,16521.739130434784
Airoli,25200000.0,1650.0,3,Mumbai,3.0,15272.727272727272
Airoli,13700000.0,1000.0,1,Mumbai,2.0,13700.0
Airoli,6700000.0,650.0,1,Mumbai,1.0,10307.692307692309
Airoli,15500000.0,980.0,2,Mumbai,2.0,15816.326530612245
Airoli,17500000.0,990.0,2,Mumbai,2.0,17676.76767676768
Airoli,9000000.0,650.0,1,Mumbai,1.0,13846.153846153846
Airoli,9800000.0,930.0,1,Mumbai,2.0,10537.63440860215
Airoli,7000000.0,625.0,1,Mumbai,1.0,11200.0
Airoli,8500000.0,550.0,1,Mumbai,1.0,15454.545454545454
Airoli,23200730.0,1538.0,3,Mumbai,3.0,15085.0
Airoli,18901062.0,1279.0,2,Mumbai,2.0,14778.0
Airoli,21401600.0,1408.0,3,Mumbai,3.0,15200.0
Airoli,18100932.0,1219.0,2,Mumbai,2.0,14849.000820344545
Airoli,13000000.0,1100.0,2,Mumbai,2.0,11818.181818181818
Airoli,13000000.0,1100.0,2,Mumbai,2.0,11818.181818181818
Airoli,15500000.0,980.0,2,Mumbai,2.0,15816.326530612245
Airoli,7500000.0,452.0,2,Mumbai,1.0,16592.9203539823
Airoli,8200000.0,550.0,1,Mumbai,1.0,14909.09090909091
Airoli,18000000.0,1245.0,2,Mumbai,2.0,14457.831325301206
Airoli,22500000.0,1420.0,3,Mumbai,2.0,15845.070422535211
Airoli,15000000.0,1099.0,3,Mumbai,3.0,13648.77161055505
Airoli,13500000.0,1150.0,2,Mumbai,2.0,11739.130434782608
Airoli,20500000.0,1550.0,3,Mumbai,3.0,13225.806451612903
Airoli,45000000.0,4800.0,6,Mumbai,6.0,9375.0
Airoli,4200000.0,350.0,1,Mumbai,1.0,12000.0
Airoli,8500000.0,490.0,1,Mumbai,1.0,17346.938775510203
Airoli,13000000.0,1150.0,2,Mumbai,2.0,11304.347826086956
Airoli,11600000.0,1000.0,2,Mumbai,2.0,11600.0
Airoli,11600000.0,1000.0,2,Mumbai,2.0,11600.0
Airoli,14400000.0,1190.0,2,Mumbai,2.0,12100.840336134454
Airoli,14400000.0,1190.0,2,Mumbai,2.0,12100.840336134454
Airoli,14400000.0,1190.0,2,Mumbai,2.0,12100.840336134454
Airoli,14500000.0,1050.0,2,Mumbai,2.0,13809.52380952381
Airoli,14500000.0,1050.0,2,Mumbai,2.0,13809.52380952381
Airoli,14500000.0,1050.0,2,Mumbai,2.0,13809.52380952381
Airoli,8800000.0,700.0,1,Mumbai,1.0,12571.42857142857
Airoli,8800000.0,700.0,1,Mumbai,1.0,12571.42857142857
Airoli,8500000.0,700.0,1,Mumbai,1.0,12142.857142857143
Airoli,8500000.0,690.0,1,Mumbai,1.0,12318.840579710144
Airoli,7500000.0,650.0,1,Mumbai,1.0,11538.461538461539
Airoli,15500000.0,1080.0,2,Mumbai,2.0,14351.851851851852
Airoli,13800000.0,1120.0,2,Mumbai,2.0,12321.42857142857
Airoli,8800000.0,815.0,1,Mumbai,1.0,10797.546012269939
Airoli,8800000.0,815.0,1,Mumbai,1.0,10797.546012269939
Airoli,8800000.0,815.0,1,Mumbai,1.0,10797.546012269939
Airoli,16800000.0,1400.0,2,Mumbai,2.0,12000.0
Airoli,9500000.0,700.0,1,Mumbai,1.0,13571.42857142857
Airoli,7200000.0,650.0,1,Mumbai,1.0,11076.923076923076
Airoli,19000000.0,1275.0,2,Mumbai,2.0,14901.960784313726
Airoli,13500000.0,1150.0,2,Mumbai,2.0,11739.130434782608
Airoli,18300000.0,1280.0,2,Mumbai,2.0,14296.875
Airoli,23000000.0,1540.0,3,Mumbai,3.0,14935.064935064935
Airoli,17800000.0,1320.0,2,Mumbai,2.0,13484.848484848484
Airoli,14500000.0,1050.0,2,Mumbai,2.0,13809.52380952381
Airoli,18700000.0,1400.0,2,Mumbai,2.0,13357.142857142857
Airoli,16800000.0,1400.0,2,Mumbai,2.0,12000.0
Airoli,16800000.0,1400.0,2,Mumbai,2.0,12000.0
Airoli,16800000.0,1400.0,2,Mumbai,2.0,12000.0
Airoli,11000000.0,980.0,2,Mumbai,2.0,11224.489795918367
Airoli,14200000.0,980.0,2,Mumbai,2.0,14489.795918367347
Airoli,14200000.0,980.0,2,Mumbai,2.0,14489.795918367347
Airoli,13000000.0,950.0,2,Mumbai,2.0,13684.21052631579
Airoli,13000000.0,950.0,2,Mumbai,2.0,13684.21052631579
Airoli,11800000.0,900.0,2,Mumbai,2.0,13111.111111111111
Airoli,11800000.0,900.0,2,Mumbai,2.0,13111.111111111111
Airoli,12000000.0,900.0,2,Mumbai,2.0,13333.333333333334
Airoli,15200000.0,990.0,2,Mumbai,2.0,15353.535353535353
Airoli,15200000.0,990.0,2,Mumbai,2.0,15353.535353535353
Airoli,11000000.0,980.0,2,Mumbai,2.0,11224.489795918367
Airoli,28000000.0,1875.0,3,Mumbai,3.0,14933.333333333334
Airoli,8500000.0,680.0,1,Mumbai,1.0,12500.0
Airoli,8500000.0,680.0,1,Mumbai,2.0,12500.0
Airoli,13000000.0,1100.0,2,Mumbai,2.0,11818.181818181818
Airoli,8000000.0,650.0,1,Mumbai,2.0,12307.692307692309
Airoli,7800000.0,690.0,1,Mumbai,1.0,11304.347826086956
Airoli,9600000.0,500.0,1,Mumbai,2.0,19200.0
Airoli,9000000.0,555.0,1,Mumbai,1.0,16216.216216216217
Airoli,19000000.0,1250.0,2,Mumbai,2.0,15200.0
Airoli,10000011.0,945.0,2,Mumbai,2.0,10582.022222222222
Airoli,14800000.0,1100.0,2,Mumbai,2.0,13454.545454545454
Airoli,10000011.0,945.0,2,Mumbai,2.0,10582.022222222222
Airoli,10000011.0,945.0,2,Mumbai,2.0,10582.022222222222
Airoli,6500000.0,650.0,1,Mumbai,1.0,10000.0
Airoli,6500000.0,650.0,1,Mumbai,1.0,10000.0
Airoli,9200000.0,488.0,1,Mumbai,2.0,18852.45901639344
Airoli,9200000.0,488.0,1,Mumbai,2.0,18852.45901639344
Airoli,22500000.0,1450.0,3,Mumbai,3.0,15517.241379310344
Airoli,17000000.0,1030.0,2,Mumbai,2.0,16504.85436893204
Airoli,20000000.0,1350.0,2,Mumbai,2.0,14814.814814814816
Airoli,17500000.0,900.0,2,Mumbai,2.0,19444.444444444445
Airoli,9700000.0,650.0,1,Mumbai,1.0,14923.076923076924
Airoli,9700000.0,650.0,1,Mumbai,1.0,14923.076923076924
Airoli,18500000.0,1279.0,2,Mumbai,2.0,14464.425332290852
Airoli,26000000.0,1952.0,3,Mumbai,3.0,13319.672131147541
Airoli,23000000.0,1300.0,2,Mumbai,2.0,17692.30769230769
Airoli,6800000.0,680.0,1,Mumbai,1.0,10000.0
Airoli,6800000.0,680.0,1,Mumbai,1.0,10000.0
Airoli,8500000.0,650.0,1,Mumbai,1.0,13076.923076923076
Airoli,7700000.0,655.0,1,Mumbai,2.0,11755.725190839694
Airoli,7700000.0,655.0,1,Mumbai,2.0,11755.725190839694
Airoli,14000000.0,1050.0,2,Mumbai,2.0,13333.333333333334
Airoli,9000000.0,535.0,1,Mumbai,1.0,16822.429906542056
Airoli,9000000.0,535.0,1,Mumbai,1.0,16822.429906542056
Ambernath,3000000.0,699.0,1,Mumbai,1.0,4291.845493562232
Ambernath,3599000.0,700.0,1,Mumbai,2.0,5141.428571428572
Ambernath,2748000.0,700.0,1,Mumbai,2.0,3925.714285714286
Ambernath,3599000.0,700.0,1,Mumbai,2.0,5141.428571428572
Ambernath,2748000.0,700.0,1,Mumbai,2.0,3925.714285714286
Ambernath,4590000.0,900.0,2,Mumbai,2.0,5100.0
Ambernath,4552000.0,900.0,2,Mumbai,2.0,5057.777777777777
Ambernath,4999000.0,1000.0,2,Mumbai,1.0,4999.0
Ambernath,4999000.0,1000.0,2,Mumbai,1.0,4999.0
Ambernath,4999000.0,1000.0,2,Mumbai,1.0,4999.0
Ambernath,2450000.0,640.0,1,Mumbai,1.0,3828.125
Ambernath,2080000.0,590.0,1,Mumbai,2.0,3525.423728813559
Ambernath,2312000.0,670.0,1,Mumbai,2.0,3450.7462686567164
Ambernath,2312000.0,690.0,1,Mumbai,2.0,3350.7246376811595
